,,,,,,
,,,,,,
,section,Section/ station,Line,From,To,Duration
,AJJ - RU,AJJ-AJJN,Down,00.30 hrs,03.30 hrs,03.00 hrs
,AJJ - RU,MLPM-AJJN,Down,00.30 hrs,03.30 hrs,03.00 hrs
,AJJ - RU,AJJN-TRT,Down,00.30 hrs,03.30 hrs,03.00 hrs
,AJJ - RU,TRT-POI,Down,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - RU,POI-VKZ,Down,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - RU,VKZ-NG,Down,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - RU,NG-EKM,Down,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - RU,EKM-VGA,Down,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - RU,VGA-PUT,Down,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - RU,PUT-TDK,Down,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - RU,TDK-PUDI,Down,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - RU,PUDI-RU,Down,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - RU,AJJ-AJJN,UP,23.30 hrs,02.30 hrs,03.00 hrs
,AJJ - RU,MLPM-AJJN,UP,23.30 hrs,02.30 hrs,03.00 hrs
,AJJ - RU,AJJN-TRT,UP,23.30 hrs,02.30 hrs,03.00 hrs
,AJJ - RU,TRT-POI,UP,21.00 hrs,00.00 hrs,03.00 hrs
,AJJ - RU,POI-VKZ,UP,21.00 hrs,00.00 hrs,03.00 hrs
,AJJ - RU,VKZ-NG,UP,21.00 hrs,00.00 hrs,03.00 hrs
,AJJ - RU,NG-EKM,UP,21.00 hrs,00.00 hrs,03.00 hrs
,AJJ - RU,EKM-VGA,UP,21.00 hrs,00.00 hrs,03.00 hrs
,AJJ - RU,VGA-PUT,UP,21.00 hrs,00.00 hrs,03.00 hrs
,AJJ - RU,PUT-TDK,UP,21.00 hrs,00.00 hrs,03.00 hrs
,AJJ - RU,TDK-PUDI,UP,21.00 hrs,00.00 hrs,03.00 hrs
,AJJ - RU,PUDI-RU,UP,21.00 hrs,00.00 hrs,03.00 hrs
,AJJ - RU,AJJ - YD,Down,00.30 hrs,03.30 hrs,03.00 hrs
,AJJ - RU,MLPM -YD,Down,00.30 hrs,03.30 hrs,03.00 hrs
,AJJ - RU,AJJN - YD,Down,00.30 hrs,03.30 hrs,03.00 hrs
,AJJ - RU,TRT - YD,Down,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - RU,POI - YD,Down,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - RU,NG - YD,Down,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - RU,VAG - YD,Down,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - RU,PUT - YD,Down,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - RU,TDK - YD,Down,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - RU,PUDI - YD,Down,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - RU,RU - YD,Down,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - RU,AJJ - YD,UP,23.30 hrs,02.30 hrs,03.00 hrs
,AJJ - RU,MLPM -YD,UP,23.30 hrs,02.30 hrs,03.00 hrs
,AJJ - RU,AJJN - YD,UP,23.30 hrs,02.30 hrs,03.00 hrs
,AJJ - RU,TRT - YD,UP,21.00 hrs,00.00 hrs,03.00 hrs
,AJJ - RU,POI - YD,UP,21.00 hrs,00.00 hrs,03.00 hrs
,AJJ - RU,NG - YD,UP,21.00 hrs,00.00 hrs,03.00 hrs
,AJJ - RU,VAG - YD,UP,21.00 hrs,00.00 hrs,03.00 hrs
,AJJ - RU,PUT - YD,UP,21.00 hrs,00.00 hrs,03.00 hrs
,AJJ - RU,TDK - YD,UP,21.00 hrs,00.00 hrs,03.00 hrs
,AJJ - RU,PUDI - YD,UP,21.00 hrs,00.00 hrs,03.00 hrs
,AJJ - RU,RU - YD,UP,21.00 hrs,00.00 hrs,03.00 hrs
,MAS - AJJ,MAS-BBQ,Down Slow Line,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - AJJ,MMCC-BBQ,Down Slow Line,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - AJJ,BBQ-VPY,Down Slow Line,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - AJJ,VPY-VLK,Down Slow Line,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - AJJ,VLK-ABU,Down Slow Line,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - AJJ,ABU-AVD,Down Slow Line,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - AJJ,AVD-PAB,Down Slow Line,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - AJJ,PAB-TI,Down Slow Line,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - AJJ,TI-TRL,Down Slow Line,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - AJJ,TRL-KBT,Down Slow Line,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - AJJ,KBT-TO,Down Slow Line,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - AJJ,TO-AJJ,Down Slow Line,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - AJJ,MAS - YD,Down Slow Line,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - AJJ,BBQ - YD,Down Slow Line,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - AJJ,MMCC - YD,Down Slow Line,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - AJJ,VPY - YD,Down Slow Line,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - AJJ,VLK - YD,Down Slow Line,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - AJJ,ABU - YD,Down Slow Line,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - AJJ,AVD - YD,Down Slow Line,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - AJJ,PAB - YD,Down Slow Line,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - AJJ,TI - YD,Down Slow Line,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - AJJ,TRL - YD,Down Slow Line,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - AJJ,KBT - YD,Down Slow Line,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - AJJ,TO - YD,Down Slow Line,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - AJJ,AJJ - YD,Down Slow Line,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - AJJ,MAS-BBQ,UP Fast Line,22.30 hrs,01.30 hrs,03.00 hrs
,MAS - AJJ,MMCC-BBQ,UP Fast Line,22.30 hrs,01.30 hrs,03.00 hrs
,MAS - AJJ,BBQ-VPY,UP Fast Line,22.30 hrs,01.30 hrs,03.00 hrs
,MAS - AJJ,VPY-VLK,UP Fast Line,22.30 hrs,01.30 hrs,03.00 hrs
,MAS - AJJ,VLK-ABU,UP Fast Line,22.30 hrs,01.30 hrs,03.00 hrs
,MAS - AJJ,ABU-AVD,UP Fast Line,22.30 hrs,01.30 hrs,03.00 hrs
,MAS - AJJ,AVD-PAB,UP Fast Line,22.30 hrs,01.30 hrs,03.00 hrs
,MAS - AJJ,PAB-TI,UP Fast Line,22.30 hrs,01.30 hrs,03.00 hrs
,MAS - AJJ,TI-TRL,UP Fast Line,22.30 hrs,01.30 hrs,03.00 hrs
,MAS - AJJ,TRL-KBT,UP Fast Line,22.30 hrs,01.30 hrs,03.00 hrs
,MAS - AJJ,KBT-TO,UP Fast Line,22.30 hrs,01.30 hrs,03.00 hrs
,MAS - AJJ,TO-AJJ,UP Fast Line,22.30 hrs,01.30 hrs,03.00 hrs
,MAS - AJJ,MAS - YD,UP Fast Line,22.30 hrs,01.30 hrs,03.00 hrs
,MAS - AJJ,BBQ - YD,UP Fast Line,22.30 hrs,01.30 hrs,03.00 hrs
,MAS - AJJ,MMCC - YD,UP Fast Line,22.30 hrs,01.30 hrs,03.00 hrs
,MAS - AJJ,VPY - YD,UP Fast Line,22.30 hrs,01.30 hrs,03.00 hrs
,MAS - AJJ,VLK - YD,UP Fast Line,22.30 hrs,01.30 hrs,03.00 hrs
,MAS - AJJ,ABU - YD,UP Fast Line,22.30 hrs,01.30 hrs,03.00 hrs
,MAS - AJJ,AVD - YD,UP Fast Line,22.30 hrs,01.30 hrs,03.00 hrs
,MAS - AJJ,PAB - YD,UP Fast Line,22.30 hrs,01.30 hrs,03.00 hrs
,MAS - AJJ,TI - YD,UP Fast Line,22.30 hrs,01.30 hrs,03.00 hrs
,MAS - AJJ,TRL - YD,UP Fast Line,22.30 hrs,01.30 hrs,03.00 hrs
,MAS - AJJ,KBT - YD,UP Fast Line,22.30 hrs,01.30 hrs,03.00 hrs
,MAS - AJJ,TO - YD,UP Fast Line,22.30 hrs,01.30 hrs,03.00 hrs
,MAS - AJJ,AJJ - YD,UP Fast Line,22.30 hrs,01.30 hrs,03.00 hrs
,MAS - AJJ,MAS-BBQ,Down Fast Line,00.05 hrs,03.05 hrs,03.00 hrs
,MAS - AJJ,MMCC-BBQ,Down Fast Line,00.05 hrs,03.05 hrs,03.00 hrs
,MAS - AJJ,BBQ-VPY,Down Fast Line,00.05 hrs,03.05 hrs,03.00 hrs
,MAS - AJJ,VPY-VLK,Down Fast Line,00.05 hrs,03.05 hrs,03.00 hrs
,MAS - AJJ,VLK-ABU,Down Fast Line,00.05 hrs,03.05 hrs,03.00 hrs
,MAS - AJJ,ABU-AVD,Down Fast Line,00.05 hrs,03.05 hrs,03.00 hrs
,MAS - AJJ,AVD-PAB,Down Fast Line,00.05 hrs,03.05 hrs,03.00 hrs
,MAS - AJJ,PAB-TI,Down Fast Line,00.05 hrs,03.05 hrs,03.00 hrs
,MAS - AJJ,TI-TRL,Down Fast Line,00.05 hrs,03.05 hrs,03.00 hrs
,MAS - AJJ,TRL-KBT,Down Fast Line,00.05 hrs,03.05 hrs,03.00 hrs
,MAS - AJJ,KBT-TO,Down Fast Line,00.05 hrs,03.05 hrs,03.00 hrs
,MAS - AJJ,TO-AJJ,Down Fast Line,00.05 hrs,03.05 hrs,03.00 hrs
,MAS - AJJ,MAS - YD,Down Fast Line,00.05 hrs,03.05 hrs,03.00 hrs
,MAS - AJJ,BBQ - YD,Down Fast Line,00.05 hrs,03.05 hrs,03.00 hrs
,MAS - AJJ,MMCC - YD,Down Fast Line,00.05 hrs,03.05 hrs,03.00 hrs
,MAS - AJJ,VPY - YD,Down Fast Line,00.05 hrs,03.05 hrs,03.00 hrs
,MAS - AJJ,VLK - YD,Down Fast Line,00.05 hrs,03.05 hrs,03.00 hrs
,MAS - AJJ,ABU - YD,Down Fast Line,00.05 hrs,03.05 hrs,03.00 hrs
,MAS - AJJ,AVD - YD,Down Fast Line,00.05 hrs,03.05 hrs,03.00 hrs
,MAS - AJJ,PAB - YD,Down Fast Line,00.05 hrs,03.05 hrs,03.00 hrs
,MAS - AJJ,TI - YD,Down Fast Line,00.05 hrs,03.05 hrs,03.00 hrs
,MAS - AJJ,TRL - YD,Down Fast Line,00.05 hrs,03.05 hrs,03.00 hrs
,MAS - AJJ,KBT - YD,Down Fast Line,00.05 hrs,03.05 hrs,03.00 hrs
,MAS - AJJ,TO - YD,Down Fast Line,00.05 hrs,03.05 hrs,03.00 hrs
,MAS - AJJ,AJJ - YD,Down Fast Line,00.05 hrs,03.05 hrs,03.00 hrs
,MAS - AJJ,MAS-BBQ,UP Slow Line,23.00 hrs,02.00 hrs,03.00 hrs
,MAS - AJJ,MMCC-BBQ,UP Slow Line,23.00 hrs,02.00 hrs,03.00 hrs
,MAS - AJJ,BBQ-VPY,UP Slow Line,23.00 hrs,02.00 hrs,03.00 hrs
,MAS - AJJ,VPY-VLK,UP Slow Line,23.00 hrs,02.00 hrs,03.00 hrs
,MAS - AJJ,VLK-ABU,UP Slow Line,23.00 hrs,02.00 hrs,03.00 hrs
,MAS - AJJ,ABU-AVD,UP Slow Line,23.00 hrs,02.00 hrs,03.00 hrs
,MAS - AJJ,AVD-PAB,UP Slow Line,23.00 hrs,02.00 hrs,03.00 hrs
,MAS - AJJ,PAB-TI,UP Slow Line,23.00 hrs,02.00 hrs,03.00 hrs
,MAS - AJJ,TI-TRL,UP Slow Line,23.00 hrs,02.00 hrs,03.00 hrs
,MAS - AJJ,TRL-KBT,UP Slow Line,23.00 hrs,02.00 hrs,03.00 hrs
,MAS - AJJ,KBT-TO,UP Slow Line,23.00 hrs,02.00 hrs,03.00 hrs
,MAS - AJJ,TO-AJJ,UP Slow Line,23.00 hrs,02.00 hrs,03.00 hrs
,MAS - AJJ,MAS - YD,UP Slow Line,23.00 hrs,02.00 hrs,03.00 hrs
,MAS - AJJ,BBQ - YD,UP Slow Line,23.00 hrs,02.00 hrs,03.00 hrs
,MAS - AJJ,MMCC - YD,UP Slow Line,23.00 hrs,02.00 hrs,03.00 hrs
,MAS - AJJ,VPY - YD,UP Slow Line,23.00 hrs,02.00 hrs,03.00 hrs
,MAS - AJJ,VLK - YD,UP Slow Line,23.00 hrs,02.00 hrs,03.00 hrs
,MAS - AJJ,ABU - YD,UP Slow Line,23.00 hrs,02.00 hrs,03.00 hrs
,MAS - AJJ,AVD - YD,UP Slow Line,23.00 hrs,02.00 hrs,03.00 hrs
,MAS - AJJ,PAB - YD,UP Slow Line,23.00 hrs,02.00 hrs,03.00 hrs
,MAS - AJJ,TI - YD,UP Slow Line,23.00 hrs,02.00 hrs,03.00 hrs
,MAS - AJJ,TRL - YD,UP Slow Line,23.00 hrs,02.00 hrs,03.00 hrs
,MAS - AJJ,KBT - YD,UP Slow Line,23.00 hrs,02.00 hrs,03.00 hrs
,MAS - AJJ,TO - YD,UP Slow Line,23.00 hrs,02.00 hrs,03.00 hrs
,MAS - AJJ,AJJ - YD,UP Slow Line,23.00 hrs,02.00 hrs,03.00 hrs
,AJJ - KPD,AJJ-MLPM,Down,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - KPD,MLPM-CTRE,Down,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - KPD,CTRE-MDVE,Down,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - KPD,MDVE-SHU,Down,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - KPD,SHU-TUG,Down,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - KPD,TUG-WJR,Down,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - KPD,WJR-MCN,Down,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - KPD,MCN-THL,Down,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - KPD,THL-SVUR,Down,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - KPD,SVUR-KPD,Down,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - KPD,AJJ - YD,Down,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - KPD,MLPM - YD,Down,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - KPD,CTRE - YD,Down,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - KPD,MDVE - YD,Down,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - KPD,SHU - YD,Down,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - KPD,TUG - YD,Down,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - KPD,WJR - YD,Down,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - KPD,MCN - YD,Down,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - KPD,THL - YD,Down,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - KPD,SVUR - YD,Down,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - KPD,KPD - YD,Down,01.00 hrs,04.00 hrs,03.00 hrs
,KPD - JTJ,KPD-LTI,Down,11.40 hrs,14.40 hrs,03.00 hrs
,KPD - JTJ,LTI-KVN,Down,11.40 hrs,14.40 hrs,03.00 hrs
,KPD - JTJ,KVN-GYM,Down,11.40 hrs,14.40 hrs,03.00 hrs
,KPD - JTJ,GYM-VLT,Down,11.40 hrs,14.40 hrs,03.00 hrs
,KPD - JTJ,VLT-MPI,Down,11.40 hrs,14.40 hrs,03.00 hrs
,KPD - JTJ,MPI-PCKM,Down,11.40 hrs,14.40 hrs,03.00 hrs
,KPD - JTJ,PCKM-AB,Down,11.40 hrs,14.40 hrs,03.00 hrs
,KPD - JTJ,AB-VGM,Down,11.40 hrs,14.40 hrs,03.00 hrs
,KPD - JTJ,VGM-VN,Down,11.40 hrs,14.40 hrs,03.00 hrs
,KPD - JTJ,VN-KDY,Down,11.40 hrs,14.40 hrs,03.00 hrs
,KPD - JTJ,KDY-JTJ,Down,11.40 hrs,14.40 hrs,03.00 hrs
,KPD - JTJ,KPD - YD,Down,11.40 hrs,14.40 hrs,03.00 hrs
,KPD - JTJ,LTI - YD,Down,11.40 hrs,14.40 hrs,03.00 hrs
,KPD - JTJ,KVN - YD,Down,11.40 hrs,14.40 hrs,03.00 hrs
,KPD - JTJ,GYM - YD,Down,11.40 hrs,14.40 hrs,03.00 hrs
,KPD - JTJ,VLT - YD,Down,11.40 hrs,14.40 hrs,03.00 hrs
,KPD - JTJ,MPI - YD,Down,11.40 hrs,14.40 hrs,03.00 hrs
,KPD - JTJ,PCKM - YD,Down,11.40 hrs,14.40 hrs,03.00 hrs
,KPD - JTJ,AB - YD,Down,11.40 hrs,14.40 hrs,03.00 hrs
,KPD - JTJ,VGM - YD,Down,11.40 hrs,14.40 hrs,03.00 hrs
,KPD - JTJ,VN - YD,Down,11.40 hrs,14.40 hrs,03.00 hrs
,KPD - JTJ,KDY - YD,Down,11.40 hrs,14.40 hrs,03.00 hrs
,KPD - JTJ,JTJ - YD,Down,11.40 hrs,14.40 hrs,03.00 hrs
,AJJ - KPD,AJJ-MLPM,UP,22.00 hrs,01.00 hrs,03.00 hrs
,AJJ - KPD,MLPM-CTRE,UP,22.00 hrs,01.00 hrs,03.00 hrs
,AJJ - KPD,CTRE-MDVE,UP,22.00 hrs,01.00 hrs,03.00 hrs
,AJJ - KPD,MDVE-SHU,UP,22.00 hrs,01.00 hrs,03.00 hrs
,AJJ - KPD,SHU-TUG,UP,22.00 hrs,01.00 hrs,03.00 hrs
,AJJ - KPD,TUG-WJR,UP,22.00 hrs,01.00 hrs,03.00 hrs
,AJJ - KPD,WJR-MCN,UP,22.00 hrs,01.00 hrs,03.00 hrs
,AJJ - KPD,MCN-THL,UP,22.00 hrs,01.00 hrs,03.00 hrs
,AJJ - KPD,THL-SVUR,UP,22.00 hrs,01.00 hrs,03.00 hrs
,AJJ - KPD,SVUR-KPD,UP,22.00 hrs,01.00 hrs,03.00 hrs
,AJJ - KPD,AJJ - YD,UP,22.00 hrs,01.00 hrs,03.00 hrs
,AJJ - KPD,MLPM - YD,UP,22.00 hrs,01.00 hrs,03.00 hrs
,AJJ - KPD,CTRE - YD,UP,22.00 hrs,01.00 hrs,03.00 hrs
,AJJ - KPD,MDVE - YD,UP,22.00 hrs,01.00 hrs,03.00 hrs
,AJJ - KPD,SHU - YD,UP,22.00 hrs,01.00 hrs,03.00 hrs
,AJJ - KPD,TUG - YD,UP,22.00 hrs,01.00 hrs,03.00 hrs
,AJJ - KPD,WJR - YD,UP,22.00 hrs,01.00 hrs,03.00 hrs
,AJJ - KPD,MCN - YD,UP,22.00 hrs,01.00 hrs,03.00 hrs
,AJJ - KPD,THL - YD,UP,22.00 hrs,01.00 hrs,03.00 hrs
,AJJ - KPD,SVUR - YD,UP,22.00 hrs,01.00 hrs,03.00 hrs
,AJJ - KPD,KPD - YD,UP,22.00 hrs,01.00 hrs,03.00 hrs
,KPD - JTJ,KPD-LTI,UP,20.55 hrs,23.55 hrs,03.00 hrs
,KPD - JTJ,LTI-KVN,UP,20.55 hrs,23.55 hrs,03.00 hrs
,KPD - JTJ,KVN-GYM,UP,20.55 hrs,23.55 hrs,03.00 hrs
,KPD - JTJ,GYM-VLT,UP,20.55 hrs,23.55 hrs,03.00 hrs
,KPD - JTJ,VLT-MPI,UP,20.55 hrs,23.55 hrs,03.00 hrs
,KPD - JTJ,MPI-PCKM,UP,20.55 hrs,23.55 hrs,03.00 hrs
